Canonical Path,Title,Author,Version,Date,Doc ID
OBIAI_PATENTS/a_bayesian_network_framework_for_mitigating_bias_in_machine_learning_systems.pdf,A Bayesian Network Framework For Mitigating Bias In Machine Learning Systems,OBIAI Working Group,v1.0,2026-02-26,DOC-ABAYESIANNETWORKFRAMEWOR
OBIAI_PATENTS/a_non_isomorphic_lattice_based_post_quantum_identity_proof.pdf,A Non Isomorphic Lattice Based Post Quantum IDentity Proof,OBIAI Working Group,v1.0,2026-02-26,DOC-ANONISOMORPHICLATTICEBAS
OBIAI_PATENTS/cryptographic_standard_v1_0.pdf,Cryptographic Standard V1 0,OBIAI Working Group,v1.0,2026-02-26,DOC-CRYPTOGRAPHICSTANDARDV10
OBIAI_PATENTS/diram_boolean_logic_truth_table_memory_management_gates.pdf,DIRAM Boolean Logic Truth Table Memory Management Gates,OBIAI Working Group,v1.0,2026-02-26,DOC-DIRAMBOOLEANLOGICTRUTHTA
OBIAI_PATENTS/dimensional_game_theory.pdf,Dimensional Game Theory,OBIAI Working Group,v1.0,2026-02-26,DOC-DIMENSIONALGAMETHEORY
OBIAI_PATENTS/dimensional_game_theory_1.pdf,Dimensional Game Theory 1,OBIAI Working Group,v1.0,2026-02-26,DOC-DIMENSIONALGAMETHEORY1
OBIAI_PATENTS/dimensional_game_theory_variadic_strategy_in_multi_domain.pdf,Dimensional Game Theory Variadic Strategy In Multi Domain,OBIAI Working Group,v1.0,2026-02-26,DOC-DIMENSIONALGAMETHEORYVAR
OBIAI_PATENTS/directed_instruction_random_access_memory.pdf,Directed Instruction Random Access Memory,OBIAI Working Group,v1.0,2026-02-26,DOC-DIRECTEDINSTRUCTIONRANDO
OBIAI_PATENTS/dream_system_formal_technical_specification.pdf,Dream System Formal Technical Specification,OBIAI Working Group,v1.0,2026-02-26,DOC-DREAMSYSTEMFORMALTECHNIC
OBIAI_PATENTS/dual_pair_conceptual_architecture_for_obiai_phenomenological_preservation_in_computational_consciousness.pdf,Dual Pair Conceptual Architecture For OBIAI Phenomenological Preservation In Computational Consciousness,OBIAI Working Group,v1.0,2026-02-26,DOC-DUALPAIRCONCEPTUALARCHIT
OBIAI_PATENTS/epistemic_continuity_analysis_obinexus_gating_as_knowledge_metabolism.pdf,Epistemic Continuity Analysis OBINexus Gating As Knowledge Metabolism,OBIAI Working Group,v1.0,2026-02-26,DOC-EPISTEMICCONTINUITYANALY
OBIAI_PATENTS/fault_tolerant_distributed_systems_a_category_theoretic_approach_with_p_topology.pdf,Fault Tolerant Distributed Systems A Category Theoretic Approach With P Topology,OBIAI Working Group,v1.0,2026-02-26,DOC-FAULTTOLERANTDISTRIBUTED
OBIAI_PATENTS/formal_argument_for_bias_in_ai_system_bayesian_modelling.pdf,Formal Argument For Bias In AI System Bayesian Modelling,OBIAI Working Group,v1.0,2026-02-26,DOC-FORMALARGUMENTFORBIASINA
OBIAI_PATENTS/formal_argument_for_bias_in_ai_systems.pdf,Formal Argument For Bias In AI Systems,OBIAI Working Group,v1.0,2026-02-26,DOC-FORMALARGUMENTFORBIASINA
OBIAI_PATENTS/formal_verification_of_traversal_cost_function_for_dag.pdf,Formal Verification Of Traversal Cost Function For DAG,OBIAI Working Group,v1.0,2026-02-26,DOC-FORMALVERIFICATIONOFTRAV
OBIAI_PATENTS/formal_mathematical_reasoning_system.pdf,Formal Mathematical Reasoning System,OBIAI Working Group,v1.0,2026-02-26,DOC-FORMALMATHEMATICALREASON
OBIAI_PATENTS/formal_technical_specification_conceptual_symbolic_language_layer_csl.pdf,Formal Technical Specification Conceptual Symbolic Language Layer CSL,OBIAI Working Group,v1.0,2026-02-26,DOC-FORMALTECHNICALSPECIFICA
OBIAI_PATENTS/hierarchical_actor_orchestrated_state_management_with_diram_backed_epistemic_validation.pdf,Hierarchical Actor Orchestrated State Management With DIRAM Backed Epistemic Validation,OBIAI Working Group,v1.0,2026-02-26,DOC-HIERARCHICALACTORORCHEST
OBIAI_PATENTS/integrating_flashcycle_cognition_with_dimensional_game_theory.pdf,Integrating Flashcycle Cognition With Dimensional Game Theory,OBIAI Working Group,v1.0,2026-02-26,DOC-INTEGRATINGFLASHCYCLECOG
OBIAI_PATENTS/isomorphic_reduction_not_a_bug_but_a_feature.pdf,Isomorphic Reduction Not A Bug But A Feature,OBIAI Working Group,v1.0,2026-02-26,DOC-ISOMORPHICREDUCTIONNOTAB
OBIAI_PATENTS/machine_verifiable_password_rotation_and_zid_key_authorization.pdf,Machine Verifiable Password Rotation And Zid Key Authorization,OBIAI Working Group,v1.0,2026-02-26,DOC-MACHINEVERIFIABLEPASSWOR
OBIAI_PATENTS/mathematical_framework_for_zero_overhead_data_marshalling_for_ai.pdf,Mathematical Framework For Zero Overhead Data Marshalling For AI,OBIAI Working Group,v1.0,2026-02-26,DOC-MATHEMATICALFRAMEWORKFOR
OBIAI_PATENTS/mitigating_bias_in_autonomous_robotics_system.pdf,Mitigating Bias In Autonomous Robotics System,OBIAI Working Group,v1.0,2026-02-26,DOC-MITIGATINGBIASINAUTONOMO
OBIAI_PATENTS/mitigating_bias_in_machine_learning_models.pdf,Mitigating Bias In Machine Learning Models,OBIAI Working Group,v1.0,2026-02-26,DOC-MITIGATINGBIASINMACHINEL
OBIAI_PATENTS/nsigii_non_lethal_safety_infrastructure_with_graduated_integrity_implementation.pdf,NSIGII Non Lethal Safety Infrastructure With Graduated Integrity Implementation,OBIAI Working Group,v1.0,2026-02-26,DOC-NSIGIINONLETHALSAFETYINF
OBIAI_PATENTS/obiai.pdf,OBIAI,OBIAI Working Group,v1.0,2026-02-26,DOC-OBIAI
OBIAI_PATENTS/obiai_filter_flash_dag_cognition_engine_v2_2.pdf,OBIAI Filter Flash DAG Cognition Engine V2 2,OBIAI Working Group,v1.0,2026-02-26,DOC-OBIAIFILTERFLASHDAGCOGNI
OBIAI_PATENTS/obiai_almost_typecat.pdf,OBIAI Almost Typecat,OBIAI Working Group,v1.0,2026-02-26,DOC-OBIAIALMOSTTYPECAT
OBIAI_PATENTS/obicall_phase_1_2_mechanical_system_and_fault_tolerant_memory_protocol.pdf,Obicall Phase 1 2 Mechanical System And Fault Tolerant Memory Protocol,OBIAI Working Group,v1.0,2026-02-26,DOC-OBICALLPHASE12MECHANICAL
OBIAI_PATENTS/obinexus_gating_strategy_narrative_technical_documentation.pdf,OBINexus Gating Strategy Narrative Technical Documentation,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSGATINGSTRATEGYNA
OBIAI_PATENTS/obinexus_pre_grant_gated_development_architecture.pdf,OBINexus Pre Grant Gated Development Architecture,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSPREGRANTGATEDDEV
OBIAI_PATENTS/obinexus_cryptographic_interoperability_standard_v1_0.pdf,OBINexus Cryptographic Interoperability Standard V1 0,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSCRYPTOGRAPHICINT
OBIAI_PATENTS/obinexus_intention_promotion_and_assistive_telemetry_architecture.pdf,OBINexus Intention Promotion And Assistive Telemetry Architecture,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSINTENTIONPROMOTI
OBIAI_PATENTS/obinexus_password_rotation_scheme_for_ai.pdf,OBINexus Password Rotation Scheme For AI,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSPASSWORDROTATION
OBIAI_PATENTS/obinexus_quantum_filter_flash_memory_architecture.pdf,OBINexus Quantum Filter Flash Memory Architecture,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSQUANTUMFILTERFLA
OBIAI_PATENTS/obinexus_truth_framework_v1_0_0_alpha.pdf,OBINexus Truth Framework V1 0 0 Alpha,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSTRUTHFRAMEWORKV1
OBIAI_PATENTS/ontological_bayesian_intelligence_architecture.pdf,Ontological Bayesian Intelligence Architecture,OBIAI Working Group,v1.0,2026-02-26,DOC-ONTOLOGICALBAYESIANINTEL
OBIAI_PATENTS/ontological_bayesian_infrastructure_toward_a_self_interpreting_ai_framework.pdf,Ontological Bayesian Infrastructure Toward A Self Interpreting AI Framework,OBIAI Working Group,v1.0,2026-02-26,DOC-ONTOLOGICALBAYESIANINFRA
OBIAI_PATENTS/the_95_4_metric.pdf,The 95 4 Metric,OBIAI Working Group,v1.0,2026-02-26,DOC-THE954METRIC
OBIAI_PATENTS/the_heart_ai_technical_specification_for_patent_filing.pdf,The Heart AI Technical Specification For Patent Filing,OBIAI Working Group,v1.0,2026-02-26,DOC-THEHEARTAITECHNICALSPECI
OBIAI_PATENTS/the_obinexus_consciousness_stack.pdf,The OBINexus Consciousness Stack,OBIAI Working Group,v1.0,2026-02-26,DOC-THEOBINEXUSCONSCIOUSNESS
OBIAI_PATENTS/unbiased_ai_addressed_hypothesis.pdf,Unbiased AI Addressed Hypothesis,OBIAI Working Group,v1.0,2026-02-26,DOC-UNBIASEDAIADDRESSEDHYPOT
OBIAI_PATENTS/unbiased_ai_addressed_hypothesis.pdf,Unbiased AI Addressed Hypothesis,OBIAI Working Group,v1.0,2026-02-26,DOC-UNBIASEDAIADDRESSEDHYPOT
OBIAI_PATENTS/unbiased_ai.pdf,Unbiased AI,OBIAI Working Group,v1.0,2026-02-26,DOC-UNBIASEDAI
OBIAI_PATENTS/unified_obiai_specification_document_for_github_repository_integration.pdf,Unified OBIAI Specification Document For Github Repository Integration,OBIAI Working Group,v1.0,2026-02-26,DOC-UNIFIEDOBIAISPECIFICATIO
OBIAI_PATENTS/unified_quantum_classical_bridge_protocol_uqcbp.pdf,Unified Quantum Classical Bridge Protocol UQCBP,OBIAI Working Group,v1.0,2026-02-26,DOC-UNIFIEDQUANTUMCLASSICALB
OBIAI_PATENTS/why_everyone_else_is_wrong_the_obinexus_technical_manifesto.pdf,Why Everyone Else Is Wrong The OBINexus Technical Manifesto,OBIAI Working Group,v1.0,2026-02-26,DOC-WHYEVERYONEELSEISWRONGTH
TRANSCRIPTS/TRANSCRIPT/Bidirecional Learning/OBINexus Constutional Updates Pandora Box Healing Begin NOW/obinexus_constutional_updates_pandora_box_healing_begin_now.pdf,OBINexus Constutional Updates Pandora Box Healing Begin Now,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSCONSTUTIONALUPDA
TRANSCRIPTS/TRANSCRIPT/GossipLang/Gossip Programing16 NOV 2025 AD by Nnamdi Michael Okpala/gossip_programing16_nov_2025_ad_by_nnamdi_michael_okpala.pdf,Gossip Programing16 Nov 2025 Ad By Nnamdi Michael Okpala,OBIAI Working Group,v1.0,2026-02-26,DOC-GOSSIPPROGRAMING16NOV202
TRANSCRIPTS/TRANSCRIPT/GossipLang/Ontological Baysian Quatum Superpositve State Isotolpic/ontological_baysian_quatum_superpositve_state_isotolpic.pdf,Ontological Baysian Quatum Superpositve State Isotolpic,OBIAI Working Group,v1.0,2026-02-26,DOC-ONTOLOGICALBAYSIANQUATUM
TRANSCRIPTS/TRANSCRIPT/dimensional-game-theory/dimensional_game_theory_by_nnamdin.pdf,Dimensional Game Theory By Nnamdin,OBIAI Working Group,v1.0,2026-02-26,DOC-DIMENSIONALGAMETHEORYBYN
libpolycall-v1/bindings/v1/nonnative-ffi/pypolycall/readme.pdf,Readme,OBIAI Working Group,v1.0,2026-02-26,DOC-README
libpolycall-v1/docs/how_does_hotswapping_work_in_libpolycall_via_semantic_versionx_in_the_real_for_a_polygatic_system.pdf,How Does Hotswapping Work In Libpolycall Via Semantic Versionx In The Real For A Polygatic System,OBIAI Working Group,v1.0,2026-02-26,DOC-HOWDOESHOTSWAPPINGWORKIN
libpolycall-v1/docs/obinexus_project_references_references_md.pdf,OBINexus Project References References Md,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSPROJECTREFERENCE
libpolycall-v1/docs/obinexus_libpolycall_v2_restructure_plan_feature_isolation_architecture.pdf,OBINexus Libpolycall V2 Restructure Plan Feature Isolation Architecture,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSLIBPOLYCALLV2RES
libpolycall-v1/docs/web_polycall_integration_guide_zero_trust_implementation.pdf,Web Polycall Integration Guide Zero Trust Implementation,OBIAI Working Group,v1.0,2026-02-26,DOC-WEBPOLYCALLINTEGRATIONGU
libpolycall-v1/docs/dop-architecture/cryptographic_standard_v1_0.pdf,Cryptographic Standard V1 0,OBIAI Working Group,v1.0,2026-02-26,DOC-CRYPTOGRAPHICSTANDARDV10
libpolycall-v1/docs/dop-architecture/isomorphic_reduction_not_a_bug_but_a_feature.pdf,Isomorphic Reduction Not A Bug But A Feature,OBIAI Working Group,v1.0,2026-02-26,DOC-ISOMORPHICREDUCTIONNOTAB
libpolycall-v1/docs/dop-architecture/mathematical_framework_for_zero_overhead_data_marshalling.pdf,Mathematical Framework For Zero Overhead Data Marshalling,OBIAI Working Group,v1.0,2026-02-26,DOC-MATHEMATICALFRAMEWORKFOR
libpolycall-v1/docs/images/blrdrjiu4bxhaqreeqrg1_sxgjt80oiknrh84ofuzj8m0ith4xsql4agythcswvo1vqqbts0l5iup8uavyqniu8srcqt7ss_pgpdakdfyab62he1fcsy8ugio4wyyqj9ncgzoqm2hsc1_rggclsgd9k95.pdf,Blrdrjiu4bxhaqreeqrg1 Sxgjt80oiknrh84ofuzj8m0ith4xsql4agythcswvo1vqqbts0l5iup8uavyqniu8srcqt7ss Pgpdakdfyab62he1fcsy8ugio4wyyqj9ncgzoqm2hsc1 Rggclsgd9k95,OBIAI Working Group,v1.0,2026-02-26,DOC-BLRDRJIU4BXHAQREEQRG1SXG
libpolycall-v1/docs/legal/obinexus_constitutional_ecosystem_readme.pdf,OBINexus Constitutional Ecosystem Readme,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSCONSTITUTIONALEC
libpolycall-v1/docs/legal/references/dark_psychology_mitigation_and_disability_rights_enforcement_specification.pdf,Dark Psychology Mitigation And Disability Rights Enforcement Specification,OBIAI Working Group,v1.0,2026-02-26,DOC-DARKPSYCHOLOGYMITIGATION
libpolycall-v1/docs/legal/references/obiaxis_division_charter_epistemological_alignment_authority.pdf,Obiaxis Division Charter Epistemological Alignment Authority,OBIAI Working Group,v1.0,2026-02-26,DOC-OBIAXISDIVISIONCHARTEREP
libpolycall-v1/docs/legal/references/obinexus_constitutional_clause_department_to_division_transition_protocol.pdf,OBINexus Constitutional Clause Department To Division Transition Protocol,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSCONSTITUTIONALCL
libpolycall-v1/docs/legal/references/obinexus_constitutional_legal_framework.pdf,OBINexus Constitutional Legal Framework,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSCONSTITUTIONALLE
libpolycall-v1/docs/legal/references/obinexus_constitutional_legal_framework_machine_verifiable_governance_code.pdf,OBINexus Constitutional Legal Framework Machine Verifiable Governance Code,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSCONSTITUTIONALLE
libpolycall-v1/docs/legal/references/obinexus_ui_ux_infrastructure_specification.pdf,OBINexus Ui Ux Infrastructure Specification,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSUIUXINFRASTRUCTU
libpolycall-v1/docs/legal/references/right_to_act_human_rights_clause_constitutional_implementation.pdf,Right To Act Human Rights Clause Constitutional Implementation,OBIAI Working Group,v1.0,2026-02-26,DOC-RIGHTTOACTHUMANRIGHTSCLA
libpolycall-v1/docs/legal/references/the_truth_project.pdf,The Truth Project,OBIAI Working Group,v1.0,2026-02-26,DOC-THETRUTHPROJECT
libpolycall-v1/docs/legal/references/universal_pension_allocation_for_human_rights_enforcement_obinexus_constitutional_clause.pdf,Universal Pension Allocation For Human Rights Enforcement OBINexus Constitutional Clause,OBIAI Working Group,v1.0,2026-02-26,DOC-UNIVERSALPENSIONALLOCATI
libpolycall-v1/docs/non-editable/obinexus_phenomenologic_data_specification.pdf,OBINexus Phenomenologic Data Specification,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSPHENOMENOLOGICDA
libpolycall-v1/docs/non-editable/readme.pdf,Readme,OBIAI Working Group,v1.0,2026-02-26,DOC-README
libpolycall-v1/docs/usage/zlvtrjis5bxnkt3uhhc3tjkb3tgwan0hrfr1_k6iri3qoq0bmcp2anf99v6m0nkatm_tuwa_osuxakfslqhkwtzdvfnq_w_rblso5iele5mcverbycgw8deqtvhqrr98bl2qv9rdyly7elbkgim5c.pdf,Zlvtrjis5bxnkt3uhhc3tjkb3tgwan0hrfr1 K6iri3qoq0bmcp2anf99v6m0nkatm Tuwa Osuxakfslqhkwtzdvfnq W Rblso5iele5mcverbycgw8deqtvhqrr98bl2qv9rdyly7elbkgim5c,OBIAI Working Group,v1.0,2026-02-26,DOC-ZLVTRJIS5BXNKT3UHHC3TJKB
nsigii_lte_codec/1-NSIGII_Codec/markdown/code_review_trident_theory_and_go_code_review_trident_theory_and_go.pdf,Code Review Trident Theory And Go Code Review Trident Theory And Go,OBIAI Working Group,v1.0,2026-02-26,DOC-CODEREVIEWTRIDENTTHEORYA
nsigii_lte_codec/4-NSIGII_Eze_RelayServer_in_C/docs/NSIGII_HumanRights_HetroHomo_TridentPollRulling_VideoCodec_17FEB2026/nsigii_polygatic_video_codec_usage.pdf,NSIGII Polygatic Video Codec Usage,OBIAI Working Group,v1.0,2026-02-26,DOC-NSIGIIPOLYGATICVIDEOCODE
nsigii_lte_codec/6-NSIGII_Not_A_Toy/dimensional_game_theory.pdf,Dimensional Game Theory,OBIAI Working Group,v1.0,2026-02-26,DOC-DIMENSIONALGAMETHEORY
nsigii_lte_codec/6-NSIGII_Not_A_Toy/obinexus_formal_blueprint_of_creation_and_life.pdf,OBINexus Formal Blueprint Of Creation And Life,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSFORMALBLUEPRINTO
nsigii_lte_codec/6-NSIGII_Not_A_Toy/readme.pdf,Readme,OBIAI Working Group,v1.0,2026-02-26,DOC-README
nsigii_lte_codec/6-NSIGII_Not_A_Toy/TRANSCRIPT/BCI/NeuroDivergent PLP for Hologrpahci Tech/eurodivergent_phenomenological_lensing_principle_through_a_7x7_opensensory_matrix_for_ontological_invariant_kinematic_rhetorical_reasoning_rationale_f.pdf,Eurodivergent Phenomenological Lensing Principle Through A 7x7 Opensensory Matrix For Ontological Invariant Kinematic Rhetorical Reasoning Rationale F,OBIAI Working Group,v1.0,2026-02-26,DOC-EURODIVERGENTPHENOMENOLO
nsigii_lte_codec/6-NSIGII_Not_A_Toy/TRANSCRIPT/Bidirecional Learning/OBINexus Constutional Updates Pandora Box Healing Begin NOW/obinexus_constutional_updates_pandora_box_healing_begin_now.pdf,OBINexus Constutional Updates Pandora Box Healing Begin Now,OBIAI Working Group,v1.0,2026-02-26,DOC-OBINEXUSCONSTUTIONALUPDA
nsigii_lte_codec/6-NSIGII_Not_A_Toy/TRANSCRIPT/GossipLang/Gossip Programing16 NOV 2025 AD by Nnamdi Michael Okpala/gossip_programing16_nov_2025_ad_by_nnamdi_michael_okpala.pdf,Gossip Programing16 Nov 2025 Ad By Nnamdi Michael Okpala,OBIAI Working Group,v1.0,2026-02-26,DOC-GOSSIPPROGRAMING16NOV202
nsigii_lte_codec/6-NSIGII_Not_A_Toy/TRANSCRIPT/GossipLang/Ontological Baysian Quatum Superpositve State Isotolpic/ontological_baysian_quatum_superpositve_state_isotolpic.pdf,Ontological Baysian Quatum Superpositve State Isotolpic,OBIAI Working Group,v1.0,2026-02-26,DOC-ONTOLOGICALBAYSIANQUATUM
nsigii_lte_codec/6-NSIGII_Not_A_Toy/TRANSCRIPT/dimensional-game-theory/dimensional_game_theory_by_nnamdin.pdf,Dimensional Game Theory By Nnamdin,OBIAI Working Group,v1.0,2026-02-26,DOC-DIMENSIONALGAMETHEORYBYN
